checking_balance,months_loan_duration,credit_history,purpose,amount,savings_balance,employment_duration,percent_of_income,years_at_residence,age,other_credit,housing,existing_loans_count,job,dependents,phone,default
< 0 DM,12.0,good,car,1168.0,< 100 DM,1 - 4 years,4.0,3.0,27.0,none,own,1.0,unskilled,1.0,no,no
unknown,27.0,poor,business,5117.0,< 100 DM,4 - 7 years,3.0,4.0,26.0,none,own,2.0,skilled,1.0,no,no
< 0 DM,12.0,good,education,902.0,< 100 DM,4 - 7 years,4.0,4.0,21.0,none,rent,1.0,skilled,1.0,no,
unknown,12.0,critical,car,1495.0,,> 7 years,4.0,1.0,38.0,none,own,2.0,unskilled,2.0,no,no
< 0 DM,30.0,critical,,10623.0,< 100 DM,> 7 years,3.0,,38.0,none,other,3.0,management,2.0,yes,
unknown,12.0,,furniture/appliances,1935.0,< 100 DM,> 7 years,4.0,4.0,43.0,none,own,3.0,skilled,1.0,,no
1 - 200 DM,12.0,critical,furniture/appliances,1424.0,< 100 DM,4 - 7 years,4.0,3.0,26.0,none,own,1.0,skilled,1.0,no,no
< 0 DM,24.0,good,business,6568.0,< 100 DM,1 - 4 years,2.0,2.0,21.0,store,own,1.0,unskilled,1.0,no,no
unknown,12.0,,car,1413.0,> 1000 DM,4 - 7 years,3.0,2.0,55.0,none,own,1.0,skilled,1.0,no,no
,9.0,critical,furniture/appliances,3074.0,unknown,1 - 4 years,1.0,2.0,33.0,none,own,2.0,skilled,2.0,no,no
unknown,36.0,good,,3835.0,unknown,> 7 years,2.0,4.0,45.0,none,own,1.0,unskilled,1.0,yes,no
< 0 DM,27.0,perfect,business,5293.0,< 100 DM,unemployed,2.0,4.0,50.0,store,own,2.0,skilled,1.0,yes,yes
> 200 DM,30.0,poor,business,1908.0,< 100 DM,> 7 years,4.0,4.0,66.0,none,own,1.0,management,1.0,yes,yes
unknown,36.0,critical,furniture/appliances,3342.0,unknown,> 7 years,4.0,2.0,51.0,none,own,1.0,skilled,1.0,yes,no
1 - 200 DM,6.0,critical,education,932.0,unknown,4 - 7 years,1.0,3.0,39.0,none,own,2.0,unskilled,1.0,no,no
< 0 DM,18.0,perfect,business,3104.0,< 100 DM,4 - 7 years,3.0,1.0,31.0,bank,own,1.0,skilled,1.0,yes,no
> 200 DM,36.0,good,furniture/appliances,3913.0,< 100 DM,1 - 4 years,2.0,2.0,23.0,none,own,1.0,skilled,1.0,yes,no
< 0 DM,24.0,good,furniture/appliances,3021.0,< 100 DM,1 - 4 years,2.0,2.0,24.0,none,rent,1.0,unskilled,1.0,no,no
unknown,10.0,good,car,1364.0,< 100 DM,1 - 4 years,2.0,4.0,64.0,,own,1.0,skilled,1.0,yes,no
1 - 200 DM,12.0,good,furniture/appliances,625.0,< 100 DM,< 1 year,4.0,1.0,26.0,bank,own,1.0,unskilled,1.0,no,no
< 0 DM,12.0,good,education,1200.0,unknown,1 - 4 years,4.0,4.0,23.0,bank,rent,1.0,skilled,1.0,yes,no
unknown,12.0,good,furniture/appliances,707.0,< 100 DM,1 - 4 years,4.0,2.0,30.0,bank,own,2.0,skilled,1.0,no,no
unknown,24.0,poor,,2978.0,unknown,1 - 4 years,4.0,4.0,32.0,none,own,2.0,skilled,2.0,yes,no
unknown,15.0,good,car,4657.0,< 100 DM,1 - 4 years,3.0,2.0,30.0,none,own,1.0,skilled,1.0,yes,no
unknown,36.0,perfect,renovations,2613.0,< 100 DM,1 - 4 years,4.0,2.0,27.0,none,own,2.0,,1.0,no,no
1 - 200 DM,48.0,good,furniture/appliances,10961.0,> 1000 DM,4 - 7 years,1.0,2.0,27.0,bank,own,2.0,skilled,1.0,yes,yes
< 0 DM,12.0,good,furniture/appliances,7865.0,< 100 DM,> 7 years,4.0,4.0,53.0,none,other,1.0,management,1.0,yes,yes
unknown,9.0,good,furniture/appliances,1478.0,< 100 DM,4 - 7 years,4.0,2.0,22.0,none,own,1.0,skilled,1.0,no,yes
< 0 DM,24.0,good,furniture/appliances,3149.0,< 100 DM,< 1 year,4.0,1.0,22.0,bank,other,1.0,skilled,1.0,no,no
> 200 DM,36.0,good,furniture/appliances,4210.0,< 100 DM,1 - 4 years,4.0,2.0,26.0,none,own,1.0,skilled,1.0,no,yes
unknown,9.0,good,car,2507.0,500 - 1000 DM,> 7 years,2.0,4.0,51.0,none,other,1.0,unskilled,1.0,no,no
unknown,12.0,good,furniture/appliances,2141.0,100 - 500 DM,4 - 7 years,3.0,1.0,35.0,none,own,1.0,skilled,1.0,no,no
1 - 200 DM,18.0,good,furniture/appliances,866.0,< 100 DM,1 - 4 years,4.0,2.0,25.0,none,own,1.0,unskilled,1.0,no,no
unknown,4.0,critical,furniture/appliances,1544.0,< 100 DM,4 - 7 years,2.0,1.0,42.0,none,own,3.0,unskilled,2.0,no,no
,24.0,good,furniture/appliances,1823.0,< 100 DM,unemployed,4.0,2.0,30.0,store,own,1.0,management,2.0,no,yes
1 - 200 DM,6.0,good,car,14555.0,unknown,unemployed,1.0,2.0,23.0,none,own,1.0,unemployed,1.0,yes,yes
1 - 200 DM,21.0,good,business,2767.0,100 - 500 DM,> 7 years,4.0,2.0,61.0,bank,rent,2.0,unskilled,1.0,,yes
unknown,12.0,critical,furniture/appliances,1291.0,< 100 DM,1 - 4 years,4.0,2.0,35.0,none,own,2.0,skilled,1.0,no,no
< 0 DM,30.0,good,furniture/appliances,2522.0,< 100 DM,> 7 years,1.0,3.0,39.0,none,own,1.0,skilled,2.0,no,no
< 0 DM,24.0,good,car,915.0,unknown,> 7 years,4.0,2.0,29.0,bank,own,1.0,skilled,1.0,no,yes
unknown,6.0,good,furniture/appliances,1595.0,< 100 DM,4 - 7 years,3.0,2.0,51.0,none,own,1.0,skilled,2.0,no,no
< 0 DM,48.0,perfect,car,4605.0,< 100 DM,> 7 years,3.0,4.0,24.0,none,other,2.0,skilled,2.0,no,yes
unknown,12.0,critical,business,,< 100 DM,1 - 4 years,3.0,2.0,27.0,none,own,2.0,,1.0,no,no
unknown,12.0,very good,education,3447.0,500 - 1000 DM,1 - 4 years,4.0,3.0,35.0,none,own,1.0,unskilled,2.0,no,no
unknown,24.0,good,business,1258.0,< 100 DM,4 - 7 years,4.0,1.0,25.0,none,own,1.0,skilled,1.0,yes,no
unknown,12.0,critical,furniture/appliances,717.0,< 100 DM,> 7 years,4.0,4.0,52.0,none,own,3.0,skilled,1.0,no,no
unknown,6.0,perfect,car,1204.0,100 - 500 DM,1 - 4 years,4.0,1.0,35.0,bank,rent,1.0,skilled,1.0,no,no
> 200 DM,24.0,good,furniture/appliances,1925.0,< 100 DM,1 - 4 years,2.0,2.0,26.0,none,own,1.0,skilled,1.0,no,no
unknown,18.0,good,furniture/appliances,433.0,< 100 DM,unemployed,3.0,4.0,22.0,none,rent,1.0,,1.0,no,yes
< 0 DM,6.0,critical,car,666.0,> 1000 DM,4 - 7 years,3.0,4.0,39.0,none,own,2.0,unskilled,1.0,yes,no
> 200 DM,12.0,good,furniture/appliances,2251.0,< 100 DM,1 - 4 years,1.0,2.0,,none,,1.0,unskilled,1.0,no,no
1 - 200 DM,30.0,good,car,2150.0,< 100 DM,1 - 4 years,4.0,2.0,24.0,bank,own,1.0,skilled,1.0,no,yes
unknown,24.0,poor,furniture/appliances,4151.0,100 - 500 DM,1 - 4 years,2.0,3.0,35.0,none,own,2.0,skilled,1.0,no,no
1 - 200 DM,9.0,good,furniture/appliances,2030.0,unknown,4 - 7 years,2.0,1.0,24.0,none,own,1.0,skilled,1.0,yes,
1 - 200 DM,60.0,poor,furniture/appliances,7418.0,unknown,1 - 4 years,1.0,1.0,27.0,,own,1.0,unskilled,1.0,no,
unknown,24.0,critical,furniture/appliances,2684.0,< 100 DM,1 - 4 years,4.0,2.0,35.0,none,own,2.0,unskilled,1.0,no,no
< 0 DM,12.0,very good,furniture/appliances,2149.0,< 100 DM,1 - 4 years,4.0,1.0,,none,other,1.0,skilled,1.0,no,yes
unknown,15.0,good,car,3812.0,100 - 500 DM,< 1 year,1.0,4.0,23.0,none,own,1.0,skilled,1.0,yes,no
unknown,11.0,critical,furniture/appliances,1154.0,100 - 500 DM,unemployed,4.0,4.0,57.0,none,own,3.0,unskilled,1.0,no,no
< 0 DM,12.0,good,furniture/appliances,1657.0,< 100 DM,1 - 4 years,2.0,2.0,27.0,none,own,1.0,skilled,1.0,no,no
< 0 DM,24.0,good,furniture/appliances,1603.0,< 100 DM,> 7 years,4.0,,55.0,,own,1.0,skilled,1.0,no,no
< 0 DM,18.0,critical,car,5302.0,< 100 DM,> 7 years,2.0,4.0,36.0,none,other,3.0,management,1.0,yes,no
unknown,12.0,critical,education,2748.0,< 100 DM,> 7 years,2.0,4.0,57.0,bank,other,3.0,unskilled,1.0,no,no
unknown,,critical,car,1231.0,< 100 DM,> 7 years,3.0,4.0,32.0,none,own,2.0,unskilled,2.0,no,no
1 - 200 DM,15.0,good,furniture/appliances,802.0,< 100 DM,> 7 years,4.0,3.0,37.0,none,own,1.0,skilled,,no,yes
unknown,36.0,critical,business,6304.0,unknown,> 7 years,4.0,4.0,36.0,none,own,2.0,skilled,1.0,no,no
unknown,24.0,good,furniture/appliances,1533.0,< 100 DM,< 1 year,4.0,3.0,38.0,store,own,1.0,skilled,1.0,yes,no
< 0 DM,14.0,good,car,8978.0,< 100 DM,> 7 years,1.0,4.0,45.0,none,own,1.0,management,1.0,yes,yes
unknown,24.0,good,furniture/appliances,999.0,unknown,> 7 years,4.0,2.0,25.0,none,own,2.0,skilled,1.0,no,no
unknown,18.0,good,car,2662.0,unknown,4 - 7 years,4.0,3.0,32.0,none,own,1.0,skilled,1.0,no,no
unknown,12.0,critical,furniture/appliances,1402.0,500 - 1000 DM,4 - 7 years,3.0,,37.0,none,rent,1.0,skilled,1.0,yes,no
1 - 200 DM,48.0,very good,car,12169.0,unknown,unemployed,4.0,4.0,36.0,none,other,1.0,management,1.0,yes,no
1 - 200 DM,48.0,good,furniture/appliances,3060.0,< 100 DM,4 - 7 years,4.0,4.0,28.0,none,own,2.0,skilled,1.0,no,yes
< 0 DM,30.0,good,renovations,11998.0,< 100 DM,< 1 year,1.0,1.0,34.0,none,,1.0,unskilled,1.0,yes,yes
unknown,9.0,good,furniture/appliances,2697.0,< 100 DM,1 - 4 years,1.0,2.0,32.0,none,own,1.0,skilled,2.0,no,no
unknown,18.0,critical,furniture/appliances,2404.0,< 100 DM,1 - 4 years,2.0,2.0,26.0,none,own,2.0,skilled,1.0,no,no
< 0 DM,12.0,good,furniture/appliances,1262.0,unknown,> 7 years,2.0,4.0,49.0,none,own,1.0,unskilled,1.0,yes,no
unknown,6.0,good,furniture/appliances,4611.0,< 100 DM,< 1 year,1.0,4.0,,none,own,1.0,skilled,1.0,no,yes
unknown,24.0,good,furniture/appliances,1901.0,100 - 500 DM,1 - 4 years,4.0,4.0,29.0,none,rent,1.0,management,1.0,yes,no
,15.0,critical,car,3368.0,> 1000 DM,> 7 years,3.0,4.0,23.0,none,rent,2.0,,1.0,yes,no
unknown,12.0,good,furniture/appliances,1574.0,< 100 DM,1 - 4 years,4.0,2.0,50.0,none,own,1.0,skilled,1.0,no,no
> 200 DM,18.0,very good,furniture/appliances,1445.0,unknown,4 - 7 years,4.0,4.0,49.0,bank,,1.0,unskilled,1.0,no,no
unknown,15.0,critical,furniture/appliances,1520.0,unknown,> 7 years,4.0,4.0,63.0,none,own,1.0,skilled,1.0,no,no
1 - 200 DM,24.0,critical,car,3878.0,100 - 500 DM,< 1 year,4.0,2.0,37.0,none,own,1.0,skilled,1.0,yes,no
< 0 DM,47.0,good,car,10722.0,< 100 DM,,1.0,1.0,35.0,none,own,1.0,unskilled,1.0,yes,no
< 0 DM,48.0,good,car,4788.0,< 100 DM,4 - 7 years,4.0,3.0,26.0,none,own,1.0,skilled,2.0,no,no
1 - 200 DM,48.0,poor,car0,7582.0,100 - 500 DM,unemployed,2.0,4.0,31.0,none,other,1.0,management,1.0,yes,no
1 - 200 DM,12.0,good,furniture/appliances,1092.0,< 100 DM,1 - 4 years,4.0,4.0,49.0,none,own,2.0,skilled,1.0,yes,no
< 0 DM,24.0,poor,furniture/appliances,1024.0,< 100 DM,< 1 year,4.0,,48.0,store,own,1.0,skilled,1.0,no,yes
unknown,12.0,good,business,1076.0,< 100 DM,1 - 4 years,,2.0,26.0,none,own,1.0,skilled,1.0,yes,no
1 - 200 DM,36.0,good,car,9398.0,< 100 DM,< 1 year,1.0,4.0,28.0,none,rent,1.0,management,1.0,yes,yes
< 0 DM,24.0,critical,car,6419.0,< 100 DM,> 7 years,2.0,4.0,44.0,none,other,2.0,management,2.0,yes,no
> 200 DM,42.0,critical,car,4796.0,< 100 DM,> 7 years,4.0,4.0,,none,other,1.0,skilled,1.0,no,no
unknown,48.0,critical,business,7629.0,unknown,> 7 years,4.0,,46.0,bank,own,2.0,management,2.0,no,no
1 - 200 DM,48.0,good,furniture/appliances,9960.0,< 100 DM,< 1 year,1.0,2.0,26.0,none,own,1.0,skilled,1.0,yes,yes
unknown,12.0,good,car,4675.0,unknown,< 1 year,1.0,4.0,20.0,none,rent,1.0,skilled,1.0,no,no
unknown,10.0,good,car,1287.0,unknown,> 7 years,4.0,2.0,45.0,,own,1.0,unskilled,1.0,no,no
unknown,18.0,,furniture/appliances,2515.0,< 100 DM,1 - 4 years,3.0,4.0,43.0,none,own,1.0,skilled,1.0,yes,no
1 - 200 DM,21.0,critical,furniture/appliances,,> 1000 DM,4 - 7 years,3.0,2.0,32.0,none,own,2.0,skilled,1.0,yes,no
unknown,6.0,good,car,672.0,< 100 DM,unemployed,1.0,4.0,54.0,none,own,1.0,unemployed,1.0,yes,no
1 - 200 DM,36.0,perfect,furniture/appliances,3804.0,< 100 DM,1 - 4 years,4.0,1.0,42.0,none,own,1.0,skilled,1.0,yes,yes
> 200 DM,24.0,critical,car,1344.0,unknown,4 - 7 years,4.0,2.0,37.0,bank,own,2.0,unskilled,2.0,no,yes
< 0 DM,10.0,critical,car,1038.0,< 100 DM,4 - 7 years,4.0,3.0,49.0,none,own,2.0,skilled,1.0,yes,no
unknown,48.0,critical,car,10127.0,500 - 1000 DM,1 - 4 years,2.0,2.0,44.0,bank,other,1.0,skilled,1.0,no,yes
unknown,6.0,good,furniture/appliances,1543.0,> 1000 DM,1 - 4 years,4.0,2.0,33.0,none,own,1.0,skilled,1.0,no,no
unknown,30.0,,car,,unknown,4 - 7 years,2.0,4.0,24.0,store,rent,1.0,unskilled,1.0,no,no
< 0 DM,12.0,good,furniture/appliances,727.0,100 - 500 DM,< 1 year,4.0,3.0,33.0,none,own,1.0,unskilled,1.0,yes,yes
1 - 200 DM,8.0,good,furniture/appliances,1237.0,< 100 DM,1 - 4 years,3.0,4.0,24.0,none,own,1.0,skilled,1.0,no,yes
1 - 200 DM,9.0,good,car,276.0,< 100 DM,1 - 4 years,4.0,4.0,22.0,none,rent,1.0,unskilled,1.0,no,no
1 - 200 DM,48.0,good,car0,5381.0,unknown,unemployed,3.0,4.0,40.0,bank,other,1.0,unemployed,1.0,yes,no
unknown,24.0,good,furniture/appliances,5511.0,100 - 500 DM,1 - 4 years,4.0,1.0,25.0,store,own,1.0,skilled,1.0,no,no
> 200 DM,24.0,good,furniture/appliances,3749.0,< 100 DM,< 1 year,2.0,4.0,26.0,none,own,1.0,skilled,1.0,no,no
1 - 200 DM,12.0,good,car,685.0,< 100 DM,4 - 7 years,2.0,3.0,25.0,bank,,1.0,unskilled,1.0,no,yes
> 200 DM,,good,car,1494.0,unknown,< 1 year,1.0,2.0,29.0,none,own,1.0,unskilled,2.0,no,no
< 0 DM,36.0,very good,furniture/appliances,2746.0,< 100 DM,> 7 years,4.0,4.0,31.0,bank,own,1.0,skilled,1.0,no,yes
< 0 DM,12.0,good,furniture/appliances,708.0,< 100 DM,1 - 4 years,,3.0,38.0,none,own,1.0,unskilled,2.0,no,no
1 - 200 DM,24.0,good,furniture/appliances,4351.0,unknown,1 - 4 years,1.0,4.0,48.0,none,own,1.0,unskilled,1.0,yes,no
unknown,12.0,critical,education,701.0,< 100 DM,1 - 4 years,4.0,2.0,32.0,none,own,2.0,skilled,1.0,no,no
,15.0,poor,furniture/appliances,3643.0,< 100 DM,> 7 years,1.0,4.0,27.0,none,own,2.0,unskilled,1.0,no,no
1 - 200 DM,30.0,critical,car,4249.0,< 100 DM,unemployed,4.0,2.0,28.0,none,own,2.0,management,1.0,no,yes
< 0 DM,24.0,good,,1938.0,< 100 DM,< 1 year,4.0,3.0,32.0,none,own,1.0,skilled,1.0,no,yes
< 0 DM,24.0,good,car,2910.0,< 100 DM,4 - 7 years,2.0,1.0,34.0,none,other,1.0,management,1.0,yes,no
< 0 DM,18.0,good,furniture/appliances,2659.0,> 1000 DM,1 - 4 years,4.0,2.0,28.0,none,own,1.0,skilled,1.0,no,no
unknown,18.0,critical,car,1028.0,,1 - 4 years,4.0,3.0,36.0,none,own,2.0,skilled,1.0,no,no
< 0 DM,8.0,critical,car,3398.0,< 100 DM,4 - 7 years,1.0,4.0,39.0,none,own,2.0,unskilled,1.0,no,no
unknown,12.0,critical,furniture/appliances,5801.0,unknown,> 7 years,2.0,4.0,49.0,none,rent,1.0,skilled,1.0,yes,no
unknown,24.0,good,car,1525.0,> 1000 DM,4 - 7 years,4.0,3.0,34.0,none,own,1.0,skilled,2.0,yes,no
> 200 DM,36.0,good,furniture/appliances,4473.0,< 100 DM,> 7 years,4.0,2.0,31.0,none,own,1.0,skilled,1.0,no,no
1 - 200 DM,6.0,good,furniture/appliances,1068.0,< 100 DM,> 7 years,4.0,4.0,28.0,none,own,1.0,skilled,2.0,no,no
< 0 DM,24.0,critical,car,6615.0,< 100 DM,unemployed,2.0,4.0,75.0,none,other,2.0,management,1.0,yes,no
unknown,18.0,critical,education,1864.0,100 - 500 DM,1 - 4 years,,2.0,30.0,none,own,2.0,skilled,1.0,no,yes
1 - 200 DM,60.0,good,car,7408.0,100 - 500 DM,< 1 year,4.0,2.0,24.0,none,own,1.0,management,1.0,no,yes
unknown,48.0,critical,car,11590.0,100 - 500 DM,1 - 4 years,2.0,4.0,24.0,bank,rent,2.0,unskilled,1.0,no,yes
< 0 DM,24.0,perfect,furniture/appliances,4110.0,< 100 DM,> 7 years,3.0,4.0,23.0,bank,rent,2.0,skilled,2.0,no,yes
< 0 DM,6.0,critical,,3384.0,< 100 DM,1 - 4 years,1.0,4.0,44.0,none,rent,1.0,management,1.0,yes,yes
1 - 200 DM,13.0,good,furniture/appliances,2101.0,< 100 DM,< 1 year,2.0,4.0,23.0,none,own,1.0,unskilled,1.0,no,no
< 0 DM,15.0,good,furniture/appliances,1275.0,unknown,1 - 4 years,4.0,2.0,24.0,none,rent,1.0,skilled,1.0,no,yes
< 0 DM,24.0,good,furniture/appliances,4169.0,< 100 DM,1 - 4 years,4.0,4.0,28.0,none,own,1.0,skilled,1.0,no,no
1 - 200 DM,10.0,good,furniture/appliances,1521.0,< 100 DM,1 - 4 years,,2.0,31.0,none,own,1.0,unskilled,1.0,no,no
1 - 200 DM,24.0,critical,education,5743.0,< 100 DM,< 1 year,2.0,4.0,24.0,none,other,2.0,skilled,1.0,yes,no
< 0 DM,21.0,good,furniture/appliances,3599.0,< 100 DM,4 - 7 years,1.0,4.0,26.0,none,rent,1.0,unskilled,1.0,no,no
1 - 200 DM,18.0,good,furniture/appliances,3213.0,500 - 1000 DM,< 1 year,1.0,3.0,25.0,none,rent,1.0,skilled,1.0,no,no
1 - 200 DM,18.0,good,business,4439.0,< 100 DM,> 7 years,1.0,1.0,33.0,bank,own,1.0,management,1.0,yes,no
> 200 DM,10.0,good,car,3949.0,< 100 DM,< 1 year,1.0,1.0,37.0,none,own,1.0,unskilled,2.0,no,no
unknown,15.0,critical,furniture/appliances,1459.0,< 100 DM,1 - 4 years,4.0,2.0,43.0,none,own,1.0,unskilled,1.0,no,no
1 - 200 DM,13.0,critical,furniture/appliances,882.0,< 100 DM,< 1 year,4.0,4.0,23.0,,own,2.0,skilled,1.0,no,no
1 - 200 DM,24.0,good,furniture/appliances,3758.0,500 - 1000 DM,unemployed,,4.0,23.0,none,rent,1.0,unemployed,1.0,no,no
unknown,6.0,poor,business,1743.0,100 - 500 DM,1 - 4 years,1.0,2.0,34.0,none,own,2.0,unskilled,1.0,no,no
1 - 200 DM,9.0,critical,education,1136.0,> 1000 DM,> 7 years,4.0,3.0,32.0,none,other,2.0,skilled,2.0,no,yes
unknown,9.0,good,furniture/appliances,1236.0,< 100 DM,< 1 year,1.0,4.0,23.0,none,rent,1.0,skilled,1.0,yes,no
1 - 200 DM,9.0,good,furniture/appliances,959.0,< 100 DM,1 - 4 years,1.0,2.0,29.0,none,own,1.0,skilled,1.0,no,yes
unknown,18.0,critical,car,3229.0,unknown,unemployed,2.0,4.0,38.0,none,own,1.0,management,1.0,yes,no
< 0 DM,12.0,perfect,furniture/appliances,6199.0,< 100 DM,1 - 4 years,4.0,2.0,28.0,none,rent,2.0,skilled,1.0,yes,yes
unknown,10.0,good,education,727.0,500 - 1000 DM,> 7 years,4.0,,46.0,none,other,1.0,skilled,1.0,yes,no
1 - 200 DM,24.0,,car,1246.0,< 100 DM,,4.0,2.0,23.0,store,own,1.0,unskilled,1.0,no,yes
unknown,12.0,critical,furniture/appliances,2331.0,unknown,> 7 years,1.0,4.0,49.0,none,own,1.0,skilled,1.0,yes,no
unknown,36.0,poor,furniture/appliances,4463.0,< 100 DM,1 - 4 years,4.0,2.0,26.0,none,own,2.0,management,1.0,yes,yes
unknown,12.0,good,furniture/appliances,776.0,< 100 DM,1 - 4 years,4.0,2.0,28.0,none,own,1.0,skilled,,no,no
< 0 DM,30.0,good,furniture/appliances,2406.0,< 100 DM,4 - 7 years,4.0,4.0,23.0,none,rent,1.0,skilled,1.0,no,yes
1 - 200 DM,18.0,good,education,1239.0,unknown,1 - 4 years,4.0,4.0,61.0,none,other,1.0,,1.0,no,no
> 200 DM,,good,furniture/appliances,3399.0,unknown,> 7 years,2.0,3.0,37.0,none,own,1.0,management,1.0,no,no
> 200 DM,12.0,poor,car,2247.0,< 100 DM,1 - 4 years,2.0,2.0,36.0,store,own,2.0,skilled,1.0,yes,no
unknown,6.0,good,furniture/appliances,1766.0,< 100 DM,1 - 4 years,1.0,2.0,21.0,none,rent,1.0,skilled,1.0,no,no
< 0 DM,18.0,good,furniture/appliances,2473.0,< 100 DM,unemployed,4.0,1.0,25.0,none,own,1.0,unemployed,1.0,no,yes
unknown,12.0,good,business,1542.0,< 100 DM,4 - 7 years,2.0,,36.0,none,own,,skilled,1.0,yes,no
unknown,18.0,critical,car,3850.0,< 100 DM,4 - 7 years,3.0,1.0,27.0,none,own,2.0,skilled,1.0,no,no
< 0 DM,18.0,good,furniture/appliances,3650.0,< 100 DM,< 1 year,1.0,4.0,22.0,none,rent,1.0,skilled,1.0,no,no
< 0 DM,36.0,,furniture/appliances,3446.0,< 100 DM,> 7 years,4.0,2.0,42.0,none,own,,skilled,2.0,no,yes
1 - 200 DM,18.0,good,furniture/appliances,3001.0,< 100 DM,4 - 7 years,2.0,4.0,,none,rent,1.0,skilled,1.0,no,no
unknown,36.0,good,car,3079.0,unknown,1 - 4 years,4.0,4.0,36.0,none,own,1.0,skilled,1.0,no,no
,18.0,critical,furniture/appliances,6070.0,< 100 DM,> 7 years,3.0,4.0,33.0,none,own,2.0,skilled,1.0,yes,no
unknown,10.0,critical,furniture/appliances,2146.0,< 100 DM,< 1 year,1.0,3.0,23.0,none,rent,2.0,skilled,1.0,no,no
unknown,60.0,critical,car,13756.0,unknown,> 7 years,2.0,4.0,63.0,bank,other,1.0,management,1.0,yes,no
1 - 200 DM,60.0,very good,car0,14782.0,100 - 500 DM,> 7 years,3.0,4.0,60.0,bank,other,2.0,management,1.0,yes,yes
< 0 DM,48.0,very good,business,7685.0,< 100 DM,4 - 7 years,2.0,4.0,37.0,none,rent,1.0,skilled,1.0,no,yes
unknown,18.0,poor,furniture/appliances,2320.0,< 100 DM,unemployed,2.0,3.0,34.0,none,own,2.0,skilled,1.0,no,no
unknown,7.0,poor,furniture/appliances,846.0,unknown,> 7 years,3.0,4.0,36.0,none,other,1.0,skilled,1.0,no,no
1 - 200 DM,36.0,good,car,14318.0,< 100 DM,> 7 years,4.0,2.0,57.0,none,other,1.0,management,1.0,yes,yes
unknown,6.0,critical,car,362.0,100 - 500 DM,1 - 4 years,4.0,4.0,52.0,none,own,2.0,unskilled,1.0,no,no
< 0 DM,20.0,good,furniture/appliances,2212.0,unknown,4 - 7 years,4.0,4.0,39.0,none,own,1.0,skilled,,yes,no
1 - 200 DM,18.0,good,car,12976.0,< 100 DM,unemployed,3.0,4.0,38.0,none,other,1.0,management,1.0,yes,yes
unknown,22.0,good,car,1283.0,unknown,4 - 7 years,4.0,4.0,25.0,none,rent,1.0,skilled,1.0,no,no
> 200 DM,12.0,good,car,1330.0,< 100 DM,< 1 year,4.0,1.0,26.0,none,own,1.0,skilled,1.0,no,no
unknown,30.0,poor,business,4272.0,100 - 500 DM,1 - 4 years,2.0,2.0,26.0,none,own,2.0,unskilled,1.0,no,no
unknown,18.0,critical,furniture/appliances,2238.0,< 100 DM,1 - 4 years,2.0,1.0,25.0,none,own,2.0,skilled,1.0,no,no
unknown,18.0,good,furniture/appliances,1126.0,unknown,< 1 year,4.0,2.0,21.0,none,rent,1.0,skilled,1.0,yes,no
1 - 200 DM,18.0,critical,furniture/appliances,7374.0,< 100 DM,unemployed,4.0,4.0,40.0,store,own,2.0,management,1.0,yes,no
1 - 200 DM,15.0,critical,business,2326.0,500 - 1000 DM,1 - 4 years,2.0,4.0,27.0,bank,own,1.0,skilled,1.0,no,no
unknown,9.0,good,,1449.0,< 100 DM,4 - 7 years,3.0,2.0,27.0,none,own,2.0,skilled,1.0,no,no
unknown,18.0,good,car,1820.0,< 100 DM,1 - 4 years,2.0,2.0,30.0,none,own,1.0,management,1.0,yes,no
1 - 200 DM,12.0,good,furniture/appliances,983.0,,< 1 year,1.0,4.0,19.0,none,,1.0,unskilled,,,no
< 0 DM,36.0,good,car,3249.0,< 100 DM,4 - 7 years,2.0,4.0,39.0,bank,,1.0,management,2.0,yes,no
< 0 DM,,critical,furniture/appliances,1957.0,< 100 DM,4 - 7 years,1.0,4.0,31.0,none,own,1.0,skilled,1.0,no,no
unknown,9.0,critical,furniture/appliances,2406.0,< 100 DM,unemployed,2.0,3.0,31.0,none,own,1.0,management,1.0,no,no
1 - 200 DM,39.0,poor,,11760.0,100 - 500 DM,4 - 7 years,2.0,3.0,32.0,none,rent,1.0,skilled,1.0,yes,no
< 0 DM,12.0,good,furniture/appliances,2578.0,< 100 DM,unemployed,3.0,4.0,55.0,none,other,1.0,management,1.0,,no
< 0 DM,36.0,critical,furniture/appliances,2348.0,< 100 DM,,3.0,2.0,46.0,none,own,2.0,skilled,1.0,yes,
1 - 200 DM,12.0,good,car,1223.0,< 100 DM,> 7 years,1.0,1.0,46.0,none,rent,2.0,skilled,1.0,no,yes
unknown,24.0,critical,furniture/appliances,1516.0,> 1000 DM,1 - 4 years,4.0,1.0,43.0,none,own,2.0,unskilled,1.0,no,no
unknown,18.0,good,furniture/appliances,1473.0,< 100 DM,< 1 year,3.0,4.0,39.0,none,own,1.0,skilled,1.0,yes,no
1 - 200 DM,18.0,critical,business,1887.0,unknown,1 - 4 years,4.0,4.0,28.0,bank,own,2.0,skilled,1.0,no,no
unknown,24.0,poor,business,8648.0,< 100 DM,< 1 year,2.0,2.0,27.0,bank,own,2.0,skilled,1.0,yes,yes
unknown,14.0,poor,car,802.0,< 100 DM,1 - 4 years,4.0,2.0,27.0,none,own,2.0,,1.0,no,no
1 - 200 DM,18.0,poor,car,2899.0,unknown,> 7 years,4.0,4.0,43.0,none,own,1.0,skilled,2.0,no,no
